"Date","wikipedians_tot","wikipedians_new","wikipedians_edits5","wikipedians_edits100","art_count_official","art_count_200ch","art_newperday","art_mean_edits","art_mean_bytes","art_size_halfkb","art_size_2kb","db_edits","db_size","db_size_words","links_int","links_interwiki","links_images","links_external","links_redirects"
"May 2013",575,2,32,12,"52 k","25 k",6,11.9,2184,"33%","15%","8.7 k","279 MB","14.8 M","549 k","19 k","23 k","97 k","16 k"
"Apr 2013",573,9,41,13,"52 k","24 k",10,11.8,2162,"32%","14%","7.8 k","276 MB","14.6 M","544 k","20 k","23 k","95 k","16 k"
"Mar 2013",564,7,36,12,"52 k","24 k",7,11.7,2157,"31%","14%","16 k","273 MB","14.4 M","540 k","22 k","23 k","94 k","16 k"
"Feb 2013",557,6,38,7,"52 k","24 k",6,11.4,2150,"31%","14%","6.2 k","280 MB","14.3 M","537 k","397 k","23 k","93 k","16 k"
"Jan 2013",551,12,32,4,"52 k","23 k",7,11.4,2146,"31%","14%","5.5 k","279 MB","14.2 M","534 k","395 k","23 k","93 k","16 k"
"Dec 2012",539,4,35,8,"51 k","23 k",5,11.3,2137,"31%","14%","6.1 k","277 MB","14.1 M","531 k","392 k","22 k","93 k","15 k"
"Nov 2012",535,6,28,4,"51 k","23 k",4,11.2,2133,"31%","13%","3.8 k","275 MB","14.0 M","530 k","390 k","22 k","93 k","15 k"
"Oct 2012",529,7,34,2,"51 k","23 k",3,11.2,2129,"30%","13%","5.1 k","274 MB","14.0 M","528 k","388 k","22 k","92 k","15 k"
"Sep 2012",522,4,26,5,"51 k","23 k",3,11.1,2126,"30%","13%","5.0 k","273 MB","13.9 M","527 k","385 k","22 k","92 k","15 k"
"Aug 2012",518,9,30,6,"51 k","23 k",5,11,2121,"30%","13%","5.7 k","272 MB","13.9 M","527 k","382 k","21 k","92 k","15 k"
"Jul 2012",509,3,20,5,"51 k","23 k",3,10.9,2119,"30%","13%","5.2 k","271 MB","13.8 M","526 k","379 k","21 k","92 k","15 k"
"Jun 2012",506,4,29,8,"51 k","23 k",3,10.8,2117,"30%","13%","6.1 k","270 MB","13.8 M","525 k","376 k","21 k","92 k","15 k"
"May 2012",502,6,25,7,"50 k","22 k",4,10.7,2109,"30%","13%","11 k","268 MB","13.7 M","524 k","372 k","21 k","92 k","15 k"
"Apr 2012",496,7,31,5,"50 k","22 k",3,10.6,2104,"30%","13%","4.9 k","267 MB","13.6 M","522 k","369 k","21 k","92 k","14 k"
"Mar 2012",489,6,32,6,"50 k","22 k",4,10.5,2101,"30%","13%","5.2 k","266 MB","13.6 M","521 k","366 k","20 k","91 k","14 k"
"Feb 2012",483,8,35,4,"50 k","22 k",6,10.4,2099,"29%","13%","6.0 k","265 MB","13.5 M","521 k","363 k","20 k","91 k","14 k"
"Jan 2012",475,16,43,10,"50 k","22 k",6,10.3,2098,"29%","13%","7.8 k","264 MB","13.5 M","519 k","359 k","20 k","91 k","14 k"
"Dec 2011",459,2,22,5,"50 k","22 k",5,10.2,2089,"29%","13%","6.8 k","261 MB","13.4 M","516 k","355 k","19 k","91 k","14 k"
"Nov 2011",457,7,29,3,"50 k","22 k",17,10.1,2089,"29%","13%","7.4 k","260 MB","13.3 M","514 k","352 k","19 k","90 k","14 k"
"Oct 2011",450,5,32,6,"49 k","21 k",6,10,2091,"29%","13%","8.4 k","259 MB","13.3 M","508 k","347 k","19 k","90 k","14 k"
"Sep 2011",445,7,31,9,"49 k","21 k",9,9.9,2078,"28%","13%","9.0 k","258 MB","13.1 M","505 k","345 k","19 k","90 k","13 k"
"Aug 2011",438,3,31,6,"49 k","21 k",6,9.8,2075,"28%","13%","7.5 k","256 MB","13.0 M","501 k","341 k","19 k","90 k","13 k"
"Jul 2011",435,7,27,4,"48 k","20 k",5,9.7,2080,"28%","12%","7.9 k","253 MB","13.0 M","498 k","338 k","19 k","89 k","13 k"
"Jun 2011",428,4,24,5,"48 k","20 k",5,9.5,2062,"28%","12%","7.3 k","250 MB","12.8 M","494 k","336 k","19 k","88 k","13 k"
"May 2011",424,9,37,3,"48 k","20 k",6,9.4,2041,"27%","12%","7.3 k","247 MB","12.6 M","490 k","333 k","18 k","87 k","13 k"
"Apr 2011",415,6,19,1,"48 k","20 k",4,9.3,1998,"27%","12%","4.4 k","240 MB","12.3 M","486 k","328 k","18 k","85 k","13 k"
"Mar 2011",409,6,35,2,"48 k","19 k",5,9.2,1979,"27%","12%","6.1 k","237 MB","12.1 M","484 k","325 k","18 k","84 k","13 k"
"Feb 2011",403,6,41,5,"48 k","19 k",8,9.1,1906,"26%","12%","5.0 k","228 MB","11.6 M","481 k","319 k","17 k","80 k","13 k"
"Jan 2011",397,6,38,4,"47 k","19 k",8,9.1,1815,"26%","11%","6.5 k","217 MB","11.0 M","476 k","312 k","16 k","75 k","13 k"
"Dec 2010",391,4,37,2,"47 k","19 k",14,9,1749,"26%","11%","6.5 k","207 MB","10.5 M","472 k","306 k","16 k","71 k","12 k"
"Nov 2010",387,6,35,5,"47 k","18 k",20,8.9,1664,"25%","11%","7.7 k","196 MB","9.9 M","465 k","296 k","15 k","67 k","12 k"
"Oct 2010",381,8,32,4,"46 k","18 k",11,8.9,1586,"25%","10%","5.6 k","184 MB","9.3 M","456 k","283 k","14 k","62 k","12 k"
"Sep 2010",373,10,42,6,"46 k","18 k",7,8.8,1513,"24%","10%","4.8 k","175 MB","8.8 M","449 k","278 k","13 k","58 k","12 k"
